ダウンロードした時刻：2025/07/05 23:26:59

,東京,東京,東京,東京,東京,東京
年月日,最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,
,,品質情報,均質番号,,品質情報,均質番号
2009/10/31,21.5,8,1,15.5,8,1
2009/11/1,25.9,8,1,14.7,8,1
2009/11/2,16.2,8,1,5.5,8,1
2009/11/3,13.4,8,1,5.6,8,1
2009/11/4,17.5,8,1,6.3,8,1
2009/11/5,17.1,8,1,9.8,8,1
2009/11/6,20.3,8,1,10.6,8,1
2009/11/7,20.5,8,1,13.0,8,1
2009/11/8,19.9,8,1,13.9,8,1
2009/11/9,22.1,8,1,13.7,8,1
2009/11/10,21.8,8,1,15.3,8,1
2009/11/11,18.8,8,1,15.7,8,1
2009/11/12,15.8,8,1,10.1,8,1
2009/11/13,13.1,8,1,9.8,8,1
2009/11/14,22.5,8,1,11.2,8,1
2009/11/15,22.4,8,1,12.4,8,1
2009/11/16,17.4,8,1,12.4,8,1
2009/11/17,12.7,8,1,8.6,8,1
2009/11/18,14.9,8,1,8.8,8,1
2009/11/19,9.4,8,1,7.0,8,1
2009/11/20,14.5,8,1,6.8,8,1
2009/11/21,17.5,8,1,9.1,8,1
2009/11/22,10.2,8,1,7.4,8,1
2009/11/23,15.7,8,1,8.0,8,1
2009/11/24,14.0,8,1,8.4,8,1
2009/11/25,16.6,8,1,10.9,8,1
2009/11/26,18.1,8,1,11.8,8,1
2009/11/27,18.0,8,1,10.5,8,1
2009/11/28,17.7,8,1,10.8,8,1
2009/11/29,12.9,8,1,8.4,8,1
2009/11/30,11.7,8,1,7.2,8,1
2009/12/1,14.7,8,1,7.5,8,1
2009/12/2,16.2,8,1,8.0,8,1
2009/12/3,11.8,8,1,8.5,8,1
2009/12/4,14.9,8,1,9.9,8,1
2009/12/5,12.8,8,1,9.2,8,1
2009/12/6,16.6,8,1,7.3,8,1
2009/12/7,14.1,8,1,8.4,8,1
2009/12/8,12.9,8,1,6.2,8,1
2009/12/9,11.8,8,1,8.0,8,1
2009/12/10,13.5,8,1,9.2,8,1
2009/12/11,9.3,8,1,7.4,8,1
2009/12/12,17.4,8,1,9.0,8,1
2009/12/13,13.1,8,1,9.2,8,1
2009/12/14,10.8,8,1,7.2,8,1
2009/12/15,10.1,8,1,5.7,8,1
2009/12/16,8.7,8,1,4.8,8,1
2009/12/17,10.2,8,1,4.6,8,1
2009/12/18,11.5,8,1,3.3,8,1
2009/12/19,9.2,8,1,2.2,8,1
2009/12/20,11.8,8,1,1.1,8,1
2009/12/21,9.0,8,1,3.8,8,1
2009/12/22,10.6,8,1,2.6,8,1
2009/12/23,12.3,8,1,2.7,8,1
2009/12/24,13.8,8,1,4.9,8,1
2009/12/25,12.0,8,1,7.3,8,1
2009/12/26,12.9,8,1,6.7,8,1
2009/12/27,12.0,8,1,7.4,8,1
2009/12/28,14.2,8,1,6.7,8,1
2009/12/29,10.7,8,1,6.4,8,1
2009/12/30,13.6,8,1,5.1,8,1
2009/12/31,12.0,8,1,2.8,8,1
2010/1/1,9.5,8,1,0.2,8,1
2010/1/2,11.4,8,1,0.9,8,1
2010/1/3,9.2,8,1,1.4,8,1
2010/1/4,9.6,8,1,3.7,8,1
2010/1/5,13.2,8,1,3.0,8,1
2010/1/6,10.4,8,1,3.7,8,1
2010/1/7,12.1,8,1,1.5,8,1
2010/1/8,11.3,8,1,4.6,8,1
2010/1/9,11.1,8,1,4.0,8,1
2010/1/10,11.7,8,1,2.8,8,1
2010/1/11,6.4,8,1,4.3,8,1
2010/1/12,5.1,8,1,3.1,8,1
2010/1/13,9.2,8,1,2.8,8,1
2010/1/14,8.0,8,1,0.1,8,1
2010/1/15,8.4,8,1,-0.3,8,1
2010/1/16,6.9,8,1,1.9,8,1
2010/1/17,9.2,8,1,1.4,8,1
2010/1/18,8.8,8,1,1.8,8,1
2010/1/19,13.8,8,1,1.7,8,1
2010/1/20,17.3,8,1,4.5,8,1
2010/1/21,18.0,8,1,6.6,8,1
2010/1/22,10.5,8,1,3.8,8,1
2010/1/23,10.1,8,1,2.6,8,1
2010/1/24,10.8,8,1,2.0,8,1
2010/1/25,14.7,8,1,2.5,8,1
2010/1/26,10.5,8,1,4.3,8,1
2010/1/27,12.7,8,1,1.5,8,1
2010/1/28,15.5,8,1,5.4,8,1
2010/1/29,11.6,8,1,6.5,8,1
2010/1/30,13.0,8,1,4.5,8,1
2010/1/31,12.4,8,1,5.2,8,1
2010/2/1,9.4,8,1,0.6,8,1
2010/2/2,7.5,8,1,1.0,8,1
2010/2/3,6.9,8,1,0.1,8,1
2010/2/4,6.6,8,1,-0.4,8,1
2010/2/5,9.4,8,1,0.4,8,1
2010/2/6,7.6,8,1,0.1,8,1
2010/2/7,9.6,8,1,0.3,8,1
2010/2/8,10.0,8,1,1.9,8,1
2010/2/9,21.0,8,1,3.7,8,1
2010/2/10,13.1,8,1,4.8,8,1
2010/2/11,6.0,8,1,1.9,8,1
2010/2/12,5.2,8,1,2.0,8,1
2010/2/13,4.0,8,1,1.1,8,1
2010/2/14,7.7,8,1,0.5,8,1
2010/2/15,6.5,8,1,4.3,8,1
2010/2/16,5.2,8,1,1.8,8,1
2010/2/17,5.0,8,1,1.4,8,1
2010/2/18,6.3,8,1,0.5,8,1
2010/2/19,9.1,8,1,1.4,8,1
2010/2/20,11.2,8,1,3.0,8,1
2010/2/21,9.3,8,1,4.0,8,1
2010/2/22,10.1,8,1,4.4,8,1
2010/2/23,14.7,8,1,4.2,8,1
2010/2/24,16.6,8,1,8.0,8,1
2010/2/25,18.3,8,1,8.7,8,1
2010/2/26,18.7,8,1,14.7,8,1
2010/2/27,14.7,8,1,7.7,8,1
2010/2/28,8.4,8,1,2.8,8,1
2010/3/1,14.7,8,1,6.3,8,1
2010/3/2,7.3,8,1,3.9,8,1
2010/3/3,13.5,8,1,4.0,8,1
2010/3/4,10.6,8,1,5.4,8,1
2010/3/5,18.2,8,1,5.5,8,1
2010/3/6,13.7,8,1,9.0,8,1
2010/3/7,9.3,8,1,3.7,8,1
2010/3/8,8.4,8,1,3.3,8,1
2010/3/9,5.6,8,1,0.9,8,1
2010/3/10,11.2,8,1,1.3,8,1
2010/3/11,12.6,8,1,3.9,8,1
2010/3/12,15.2,8,1,4.1,8,1
2010/3/13,21.4,8,1,9.3,8,1
2010/3/14,14.2,8,1,7.7,8,1
2010/3/15,18.0,8,1,7.8,8,1
2010/3/16,21.6,8,1,10.7,8,1
2010/3/17,12.8,8,1,7.2,8,1
2010/3/18,13.1,8,1,5.6,8,1
2010/3/19,12.0,8,1,4.8,8,1
2010/3/20,20.9,8,1,7.0,8,1
2010/3/21,21.1,8,1,6.9,8,1
2010/3/22,13.6,8,1,5.7,8,1
2010/3/23,14.7,8,1,7.8,8,1
2010/3/24,10.2,8,1,3.2,8,1
2010/3/25,7.2,8,1,3.2,8,1
2010/3/26,12.1,8,1,5.1,8,1
2010/3/27,12.3,8,1,4.4,8,1
2010/3/28,9.5,8,1,4.0,8,1
2010/3/29,8.3,8,1,2.4,8,1
2010/3/30,10.4,8,1,1.2,8,1
2010/3/31,14.5,8,1,2.6,8,1
2010/4/1,20.7,8,1,7.4,8,1
2010/4/2,20.0,8,1,10.4,8,1
2010/4/3,14.5,8,1,8.7,8,1
2010/4/4,10.9,8,1,7.0,8,1
2010/4/5,12.1,8,1,7.2,8,1
2010/4/6,19.1,8,1,11.2,8,1
2010/4/7,16.3,8,1,7.7,8,1
2010/4/8,13.1,8,1,6.1,8,1
2010/4/9,14.6,8,1,6.9,8,1
2010/4/10,20.2,8,1,11.3,8,1
2010/4/11,23.2,8,1,14.1,8,1
2010/4/12,14.3,8,1,6.2,8,1
2010/4/13,20.0,8,1,6.8,8,1
2010/4/14,17.4,8,1,10.9,8,1
2010/4/15,11.2,8,1,5.5,8,1
2010/4/16,7.4,8,1,2.3,8,1
2010/4/17,11.5,8,1,1.4,8,1
2010/4/18,16.5,8,1,6.0,8,1
2010/4/19,20.0,8,1,9.6,8,1
2010/4/20,18.1,8,1,13.3,8,1
2010/4/21,25.5,8,1,13.9,8,1
2010/4/22,14.2,8,1,7.0,8,1
2010/4/23,10.1,8,1,6.9,8,1
2010/4/24,16.7,8,1,7.2,8,1
2010/4/25,16.7,8,1,7.5,8,1
2010/4/26,19.9,8,1,9.2,8,1
2010/4/27,15.7,8,1,10.3,8,1
2010/4/28,15.4,8,1,12.5,8,1
2010/4/29,23.4,8,1,12.9,8,1
2010/4/30,20.0,8,1,10.9,8,1
2010/5/1,20.1,8,1,11.4,8,1
2010/5/2,22.1,8,1,12.8,8,1
2010/5/3,24.0,8,1,14.3,8,1
2010/5/4,24.7,8,1,17.6,8,1
2010/5/5,27.6,8,1,16.8,8,1
2010/5/6,27.8,8,1,19.6,8,1
2010/5/7,22.3,8,1,18.3,8,1
2010/5/8,23.7,8,1,16.0,8,1
2010/5/9,26.6,8,1,16.2,8,1
2010/5/10,22.5,8,1,15.4,8,1
2010/5/11,19.7,8,1,15.0,8,1
2010/5/12,21.8,8,1,13.2,8,1
2010/5/13,20.9,8,1,11.6,8,1
2010/5/14,19.6,8,1,13.0,8,1
2010/5/15,19.3,8,1,12.3,8,1
2010/5/16,21.3,8,1,13.9,8,1
2010/5/17,26.0,8,1,15.8,8,1
2010/5/18,26.3,8,1,17.2,8,1
2010/5/19,22.9,8,1,18.8,8,1
2010/5/20,22.1,8,1,18.6,8,1
2010/5/21,30.9,8,1,19.6,8,1
2010/5/22,27.2,8,1,20.1,8,1
2010/5/23,21.0,8,1,15.5,8,1
2010/5/24,21.5,8,1,15.5,8,1
2010/5/25,29.0,8,1,18.2,8,1
2010/5/26,22.5,8,1,13.4,8,1
2010/5/27,22.2,8,1,13.3,8,1
2010/5/28,22.4,8,1,15.6,8,1
2010/5/29,17.6,8,1,14.0,8,1
2010/5/30,16.7,8,1,12.0,8,1
2010/5/31,21.9,8,1,13.6,8,1
2010/6/1,23.2,8,1,13.4,8,1
2010/6/2,24.8,8,1,14.8,8,1
2010/6/3,27.3,8,1,15.6,8,1
2010/6/4,26.4,8,1,18.7,8,1
2010/6/5,24.2,8,1,17.8,8,1
2010/6/6,26.1,8,1,17.6,8,1
2010/6/7,28.2,8,1,19.7,8,1
2010/6/8,23.3,8,1,19.6,8,1
2010/6/9,22.6,8,1,17.9,8,1
2010/6/10,28.2,8,1,18.0,8,1
2010/6/11,27.2,8,1,19.5,8,1
2010/6/12,28.9,8,1,20.8,8,1
2010/6/13,26.0,8,1,21.5,8,1
2010/6/14,21.5,8,1,17.3,8,1
2010/6/15,27.7,8,1,18.0,8,1
2010/6/16,30.3,8,1,22.2,8,1
2010/6/17,31.6,8,1,22.9,8,1
2010/6/18,28.9,8,1,20.1,8,1
2010/6/19,29.8,8,1,20.1,8,1
2010/6/20,29.1,8,1,23.9,8,1
2010/6/21,29.0,8,1,23.2,8,1
2010/6/22,29.2,8,1,24.3,8,1
2010/6/23,25.5,8,1,22.4,8,1
2010/6/24,28.3,8,1,22.4,8,1
2010/6/25,31.2,8,1,22.3,8,1
2010/6/26,28.7,8,1,24.6,8,1
2010/6/27,29.0,8,1,24.4,8,1
2010/6/28,31.8,8,1,25.2,8,1
2010/6/29,28.8,8,1,23.7,8,1
2010/6/30,28.9,8,1,22.7,8,1
